"name","handedness","height","weight","avg","HR","weight_bucket","height_bucket","avg_bucket","dexterity"
"Denny Lemaster","R",73,182,0.13,4,"(162,185]","(71,74]","(0.104,0.16]",1
"Joe Nolan","L",71,175,0.263,27,"(162,185]","(68,71]","(0.216,0.272]",2
"Denny Doyle","L",69,175,0.25,16,"(162,185]","(68,71]","(0.216,0.272]",2
"Jose Cardenal","R",70,150,0.275,138,"(140,162]","(68,71]","(0.272,0.328]",1
"Mike Ryan","R",74,205,0.193,28,"(185,208]","(71,74]","(0.16,0.216]",1
"Fritz Peterson","B",72,185,0.159,2,"(162,185]","(71,74]","(0.104,0.16]",3
"Dick Bertell","R",72,200,0.25,10,"(185,208]","(71,74]","(0.216,0.272]",1
"Rod Kanehl","R",73,180,0.241,6,"(162,185]","(71,74]","(0.216,0.272]",1
"Juan Bonilla","R",69,170,0.256,7,"(162,185]","(68,71]","(0.216,0.272]",1
"Frank Tepedino","L",71,185,0.241,6,"(162,185]","(68,71]","(0.216,0.272]",2
"Rick Wise","R",73,180,0.195,15,"(162,185]","(71,74]","(0.16,0.216]",1
"Darrell Evans","L",74,200,0.248,414,"(185,208]","(71,74]","(0.216,0.272]",2
"Buck Martinez","R",70,190,0.225,58,"(185,208]","(68,71]","(0.216,0.272]",1
"John Wockenfuss","R",72,190,0.262,86,"(185,208]","(71,74]","(0.216,0.272]",1
"Tommy McCraw","L",72,183,0.246,75,"(162,185]","(71,74]","(0.216,0.272]",2
"Lee Lacy","R",73,175,0.286,91,"(162,185]","(71,74]","(0.272,0.328]",1
"Pete Rose","B",71,192,0.303,160,"(185,208]","(68,71]","(0.272,0.328]",3
"Danny Walton","R",72,195,0.223,28,"(185,208]","(71,74]","(0.216,0.272]",1
"Bobby Cox","R",71,180,0.225,9,"(162,185]","(68,71]","(0.216,0.272]",1
"Brad Wellman","R",72,170,0.231,6,"(162,185]","(71,74]","(0.216,0.272]",1
"Jeff Newman","R",74,215,0.224,63,"(208,230]","(71,74]","(0.216,0.272]",1
"Pedro Gonzalez","R",72,176,0.244,8,"(162,185]","(71,74]","(0.216,0.272]",1
"Tommie Reynolds","R",74,190,0.226,12,"(185,208]","(71,74]","(0.216,0.272]",1
"Gene Clines","R",69,170,0.277,5,"(162,185]","(68,71]","(0.272,0.328]",1
"Jim Hickman","R",75,192,0.252,159,"(185,208]","(74,77]","(0.216,0.272]",1
"Jerry Buchek","R",71,185,0.22,22,"(162,185]","(68,71]","(0.216,0.272]",1
"Ivan DeJesus","R",71,175,0.254,21,"(162,185]","(68,71]","(0.216,0.272]",1
"Gary Nolan","R",74,197,0.138,1,"(185,208]","(71,74]","(0.104,0.16]",1
"Fred Whitfield","L",73,190,0.253,108,"(185,208]","(71,74]","(0.216,0.272]",2
"Larry Dierker","R",76,215,0.136,4,"(208,230]","(74,77]","(0.104,0.16]",1
"Dave Skaggs","R",74,200,0.241,3,"(185,208]","(71,74]","(0.216,0.272]",1
"Dick Ruthven","R",75,190,0.183,1,"(185,208]","(74,77]","(0.16,0.216]",1
"Dave Kingman","R",78,210,0.236,442,"(208,230]","(77,80]","(0.216,0.272]",1
"Eric Soderholm","R",71,187,0.264,102,"(185,208]","(68,71]","(0.216,0.272]",1
"Ed Brinkman","R",72,170,0.224,60,"(162,185]","(71,74]","(0.216,0.272]",1
"Wayne Garrett","L",71,175,0.239,61,"(162,185]","(68,71]","(0.216,0.272]",2
"Tony Muser","L",74,180,0.259,7,"(162,185]","(71,74]","(0.216,0.272]",2
"Ted Ford","R",70,180,0.219,17,"(162,185]","(68,71]","(0.216,0.272]",1
"Jim Lyttle","L",72,180,0.248,9,"(162,185]","(71,74]","(0.216,0.272]",2
"Scot Thompson","L",75,195,0.262,5,"(185,208]","(74,77]","(0.216,0.272]",2
"Gene Locklear","L",70,165,0.274,9,"(162,185]","(68,71]","(0.272,0.328]",2
"Bo Diaz","R",71,185,0.255,87,"(162,185]","(68,71]","(0.216,0.272]",1
"Bump Wills","B",69,172,0.266,36,"(162,185]","(68,71]","(0.216,0.272]",3
"Pat Putnam","L",72,205,0.255,63,"(185,208]","(71,74]","(0.216,0.272]",2
"Kurt Bevacqua","R",72,180,0.236,27,"(162,185]","(71,74]","(0.216,0.272]",1
"Syd O'Brien","R",73,185,0.23,24,"(162,185]","(71,74]","(0.216,0.272]",1
"Chris Chambliss","L",73,195,0.279,185,"(185,208]","(71,74]","(0.272,0.328]",2
"Tom Satriano","L",73,185,0.225,21,"(162,185]","(71,74]","(0.216,0.272]",2
"Jeffrey Leonard","R",74,200,0.266,144,"(185,208]","(71,74]","(0.216,0.272]",1
"Dal Maxvill","R",71,157,0.217,6,"(140,162]","(68,71]","(0.216,0.272]",1
"Cesar Tovar","R",69,155,0.278,46,"(140,162]","(68,71]","(0.272,0.328]",1
"Jack Heidemann","R",72,175,0.211,9,"(162,185]","(71,74]","(0.16,0.216]",1
"Rich Rollins","R",70,185,0.269,77,"(162,185]","(68,71]","(0.216,0.272]",1
"Walt Bond","L",79,228,0.256,41,"(208,230]","(77,80]","(0.216,0.272]",2
"Merv Rettenmund","R",70,190,0.271,66,"(185,208]","(68,71]","(0.216,0.272]",1
"Byron Browne","R",74,190,0.236,30,"(185,208]","(71,74]","(0.216,0.272]",1
"Hector Torres","R",72,175,0.216,18,"(162,185]","(71,74]","(0.16,0.216]",1
"Walt Williams","R",66,165,0.27,33,"(162,185]","(65,68]","(0.216,0.272]",1
"Jerry Koosman","R",74,205,0.119,2,"(185,208]","(71,74]","(0.104,0.16]",1
"Steve Lombardozzi","R",72,175,0.233,20,"(162,185]","(71,74]","(0.216,0.272]",1
"Joe Azcue","R",72,190,0.252,50,"(185,208]","(71,74]","(0.216,0.272]",1
"Elliott Maddox","R",71,180,0.261,18,"(162,185]","(68,71]","(0.216,0.272]",1
"Omar Moreno","L",74,180,0.252,37,"(162,185]","(71,74]","(0.216,0.272]",2
"Julian Javier","R",73,175,0.257,78,"(162,185]","(71,74]","(0.216,0.272]",1
"Elio Chacon","R",69,160,0.232,4,"(140,162]","(68,71]","(0.216,0.272]",1
"Rusty Torres","B",70,175,0.212,35,"(162,185]","(68,71]","(0.16,0.216]",3
"John Stearns","R",72,185,0.26,46,"(162,185]","(71,74]","(0.216,0.272]",1
"Larry Brown","R",70,160,0.233,47,"(140,162]","(68,71]","(0.216,0.272]",1
"Tommy Dean","R",72,165,0.18,4,"(162,185]","(71,74]","(0.16,0.216]",1
"Bruce Boisclair","L",74,185,0.263,10,"(162,185]","(71,74]","(0.216,0.272]",2
"Ken Singleton","B",76,210,0.282,246,"(208,230]","(74,77]","(0.272,0.328]",3
"Frank White","R",71,165,0.255,160,"(162,185]","(68,71]","(0.216,0.272]",1
"Jim Fairey","L",70,190,0.235,7,"(185,208]","(68,71]","(0.216,0.272]",2
"Tom Brookens","R",70,165,0.246,71,"(162,185]","(68,71]","(0.216,0.272]",1
"Gary Thomasson","L",73,180,0.249,61,"(162,185]","(71,74]","(0.216,0.272]",2
"Otto Velez","R",72,170,0.251,78,"(162,185]","(71,74]","(0.216,0.272]",1
"Tony Scott","B",72,164,0.249,17,"(162,185]","(71,74]","(0.216,0.272]",3
"Ray Oyler","R",71,165,0.175,15,"(162,185]","(68,71]","(0.16,0.216]",1
"Floyd Robinson","L",69,175,0.283,67,"(162,185]","(68,71]","(0.272,0.328]",2
"Steve Jeltz","B",71,180,0.21,5,"(162,185]","(68,71]","(0.16,0.216]",3
"Lou Brock","L",71,170,0.293,149,"(162,185]","(68,71]","(0.272,0.328]",2
"Joe Lovitto","B",72,185,0.216,4,"(162,185]","(71,74]","(0.16,0.216]",3
"Wayne Comer","R",70,175,0.229,16,"(162,185]","(68,71]","(0.216,0.272]",1
"Dave Collins","B",71,175,0.272,32,"(162,185]","(68,71]","(0.216,0.272]",3
"Ed Spiezio","R",71,180,0.238,39,"(162,185]","(68,71]","(0.216,0.272]",1
"Rico Petrocelli","R",72,175,0.251,210,"(162,185]","(71,74]","(0.216,0.272]",1
"Johnny Lewis","L",73,189,0.227,22,"(185,208]","(71,74]","(0.216,0.272]",2
"Dick Simpson","R",76,176,0.207,15,"(162,185]","(74,77]","(0.16,0.216]",1
"Ken Boswell","L",72,170,0.248,31,"(162,185]","(71,74]","(0.216,0.272]",2
"Ken McMullen","R",75,190,0.248,156,"(185,208]","(74,77]","(0.216,0.272]",1
"Steve Swisher","R",74,205,0.216,20,"(185,208]","(71,74]","(0.16,0.216]",1
"Dick Howser","R",68,155,0.248,16,"(140,162]","(65,68]","(0.216,0.272]",1
"Manny Castillo","B",69,160,0.242,3,"(140,162]","(68,71]","(0.216,0.272]",3
"Mike Ramsey","B",73,170,0.24,2,"(162,185]","(71,74]","(0.216,0.272]",3
"Willie Crawford","L",73,197,0.268,86,"(185,208]","(71,74]","(0.216,0.272]",2
"Willie Norwood","R",72,185,0.242,18,"(162,185]","(71,74]","(0.216,0.272]",1
"Jeff Stone","L",72,175,0.277,11,"(162,185]","(71,74]","(0.272,0.328]",2
"Joe Lahoud","L",73,198,0.223,65,"(185,208]","(71,74]","(0.216,0.272]",2
"Tim Flannery","L",71,175,0.255,9,"(162,185]","(68,71]","(0.216,0.272]",2
"Dave McKay","B",73,195,0.229,21,"(185,208]","(71,74]","(0.216,0.272]",3
"Benny Ayala","R",73,185,0.251,38,"(162,185]","(71,74]","(0.216,0.272]",1
"Greg Gross","L",70,160,0.287,7,"(140,162]","(68,71]","(0.272,0.328]",2
"Sal Butera","R",72,190,0.227,8,"(185,208]","(71,74]","(0.216,0.272]",1
"Jack Brohamer","L",70,165,0.245,30,"(162,185]","(68,71]","(0.216,0.272]",2
"Von Joshua","L",70,170,0.273,30,"(162,185]","(68,71]","(0.272,0.328]",2
"Eddie Milner","L",71,173,0.253,42,"(162,185]","(68,71]","(0.216,0.272]",2
"Johnny Jeter","R",73,180,0.244,18,"(162,185]","(71,74]","(0.216,0.272]",1
"Angel Salazar","R",72,180,0.212,2,"(162,185]","(71,74]","(0.16,0.216]",1
"Tony Oliva","L",73,175,0.304,220,"(162,185]","(71,74]","(0.272,0.328]",2
"Cito Gaston","R",75,190,0.256,91,"(185,208]","(74,77]","(0.216,0.272]",1
"Cookie Rojas","R",70,160,0.263,54,"(140,162]","(68,71]","(0.216,0.272]",1
"Rich Morales","R",71,170,0.195,6,"(162,185]","(68,71]","(0.16,0.216]",1
"Dan Ford","R",73,185,0.27,121,"(162,185]","(71,74]","(0.216,0.272]",1
"Darryl Motley","R",69,196,0.243,44,"(185,208]","(68,71]","(0.216,0.272]",1
"Ozzie Virgil","R",73,180,0.243,98,"(162,185]","(71,74]","(0.216,0.272]",1
"Johnny Oates","L",71,188,0.25,14,"(185,208]","(68,71]","(0.216,0.272]",2
"Mike Phillips","L",72,170,0.24,11,"(162,185]","(71,74]","(0.216,0.272]",2
"Ron Santo","R",72,190,0.277,342,"(185,208]","(71,74]","(0.272,0.328]",1
"Jay Johnstone","L",73,175,0.267,102,"(162,185]","(71,74]","(0.216,0.272]",2
"Jim Ray Hart","R",71,185,0.278,170,"(162,185]","(68,71]","(0.272,0.328]",1
"Marc Hill","R",75,205,0.223,34,"(185,208]","(74,77]","(0.216,0.272]",1
"Chico Salmon","R",70,160,0.249,31,"(140,162]","(68,71]","(0.216,0.272]",1
"Joe Niekro","R",73,185,0.156,1,"(162,185]","(71,74]","(0.104,0.16]",1
"Andy Etchebarren","R",73,190,0.235,49,"(185,208]","(71,74]","(0.216,0.272]",1
"Ken Berry","R",72,175,0.255,58,"(162,185]","(71,74]","(0.216,0.272]",1
"Dave Concepcion","R",74,155,0.267,101,"(140,162]","(71,74]","(0.216,0.272]",1
"Junior Moore","R",71,185,0.264,7,"(162,185]","(68,71]","(0.216,0.272]",1
"Mike Richardt","R",72,170,0.226,4,"(162,185]","(71,74]","(0.216,0.272]",1
"Chris Brown","R",72,185,0.269,38,"(162,185]","(71,74]","(0.216,0.272]",1
"Al Bumbry","L",68,170,0.281,54,"(162,185]","(65,68]","(0.272,0.328]",2
"Al Downing","R",71,175,0.127,2,"(162,185]","(68,71]","(0.104,0.16]",1
"Jake Gibbs","L",72,180,0.233,25,"(162,185]","(71,74]","(0.216,0.272]",2
"Garry Hancock","L",72,175,0.247,12,"(162,185]","(71,74]","(0.216,0.272]",2
"Ed Kranepool","L",75,205,0.261,118,"(185,208]","(74,77]","(0.216,0.272]",2
"Rick Rhoden","R",75,195,0.238,9,"(185,208]","(74,77]","(0.216,0.272]",1
"Denny McLain","R",73,185,0.133,1,"(162,185]","(71,74]","(0.104,0.16]",1
"Chuck Hiller","L",71,170,0.243,20,"(162,185]","(68,71]","(0.216,0.272]",2
"Jorge Orta","L",70,170,0.278,130,"(162,185]","(68,71]","(0.272,0.328]",2
"Dave Cash","R",71,170,0.283,21,"(162,185]","(68,71]","(0.272,0.328]",1
"Bucky Dent","R",69,170,0.247,40,"(162,185]","(68,71]","(0.216,0.272]",1
"Tony Gonzalez","L",69,170,0.286,103,"(162,185]","(68,71]","(0.272,0.328]",2
"Larry Haney","R",74,195,0.215,12,"(185,208]","(71,74]","(0.16,0.216]",1
"Billy Conigliaro","R",72,180,0.256,40,"(162,185]","(71,74]","(0.216,0.272]",1
"Gary Roenicke","R",75,205,0.247,121,"(185,208]","(74,77]","(0.216,0.272]",1
"Don Lock","R",74,195,0.238,122,"(185,208]","(71,74]","(0.216,0.272]",1
"Billy Cowan","R",72,170,0.236,40,"(162,185]","(71,74]","(0.216,0.272]",1
"Billy Smith","B",74,185,0.23,17,"(162,185]","(71,74]","(0.216,0.272]",3
"Tony Perez","R",74,175,0.279,379,"(162,185]","(71,74]","(0.272,0.328]",1
"Chuck Schilling","R",70,160,0.239,23,"(140,162]","(68,71]","(0.216,0.272]",1
"Hal McRae","R",71,180,0.29,191,"(162,185]","(68,71]","(0.272,0.328]",1
"Dave Roberts","R",75,215,0.239,49,"(208,230]","(74,77]","(0.216,0.272]",1
"Jim Lefebvre","B",72,180,0.251,74,"(162,185]","(71,74]","(0.216,0.272]",3
"Charlie Spikes","R",75,215,0.246,65,"(208,230]","(74,77]","(0.216,0.272]",1
"Steve Whitaker","L",72,180,0.23,24,"(162,185]","(71,74]","(0.216,0.272]",2
"Manny Jimenez","L",73,185,0.272,26,"(162,185]","(71,74]","(0.216,0.272]",2
"Duffy Dyer","R",72,187,0.221,30,"(185,208]","(71,74]","(0.216,0.272]",1
"Ken Henderson","B",74,180,0.257,122,"(162,185]","(71,74]","(0.216,0.272]",3
"Vern Fuller","R",73,170,0.232,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Wayne Gross","L",74,210,0.233,121,"(208,230]","(71,74]","(0.216,0.272]",2
"Mike Champion","R",72,185,0.229,2,"(162,185]","(71,74]","(0.216,0.272]",1
"Paul Casanova","R",76,180,0.225,50,"(162,185]","(74,77]","(0.216,0.272]",1
"Terry Crowley","L",72,180,0.25,42,"(162,185]","(71,74]","(0.216,0.272]",2
"Horace Clarke","B",69,170,0.256,27,"(162,185]","(68,71]","(0.216,0.272]",3
"Lou Clinton","R",73,185,0.247,65,"(162,185]","(71,74]","(0.216,0.272]",1
"Larry Cox","R",70,178,0.221,12,"(162,185]","(68,71]","(0.216,0.272]",1
"Nate Colbert","R",74,190,0.243,173,"(185,208]","(71,74]","(0.216,0.272]",1
"Phil Roof","R",74,190,0.215,43,"(185,208]","(71,74]","(0.16,0.216]",1
"Chuck Hinton","R",73,180,0.264,113,"(162,185]","(71,74]","(0.216,0.272]",1
"Tim Cullen","R",73,185,0.22,9,"(162,185]","(71,74]","(0.216,0.272]",1
"Tim Harkness","L",74,182,0.235,14,"(162,185]","(71,74]","(0.216,0.272]",2
"Rick Bosetti","R",71,185,0.25,17,"(162,185]","(68,71]","(0.216,0.272]",1
"Ron Pruitt","R",72,185,0.269,12,"(162,185]","(71,74]","(0.216,0.272]",1
"George Foster","R",73,180,0.274,348,"(162,185]","(71,74]","(0.272,0.328]",1
"Jerry White","B",70,164,0.253,21,"(162,185]","(68,71]","(0.216,0.272]",3
"Angel Mangual","R",70,178,0.245,22,"(162,185]","(68,71]","(0.216,0.272]",1
"Ken Gerhart","R",72,190,0.221,24,"(185,208]","(71,74]","(0.216,0.272]",1
"Mike Hershberger","R",70,175,0.252,26,"(162,185]","(68,71]","(0.216,0.272]",1
"Jim French","L",68,180,0.196,5,"(162,185]","(65,68]","(0.16,0.216]",2
"Dave Roberts","L",75,195,0.194,7,"(185,208]","(74,77]","(0.16,0.216]",2
"Jim Mason","L",74,185,0.203,12,"(162,185]","(71,74]","(0.16,0.216]",2
"Willie Smith","L",72,182,0.248,46,"(162,185]","(71,74]","(0.216,0.272]",2
"Jose Arcia","R",75,170,0.215,1,"(162,185]","(74,77]","(0.16,0.216]",1
"Leon Durham","L",73,185,0.277,147,"(162,185]","(71,74]","(0.272,0.328]",2
"Paul Householder","B",72,180,0.236,29,"(162,185]","(71,74]","(0.216,0.272]",3
"Aurelio Rodriguez","R",70,180,0.237,124,"(162,185]","(68,71]","(0.216,0.272]",1
"Jimmy Stewart","B",72,165,0.237,8,"(162,185]","(71,74]","(0.216,0.272]",3
"Dick Phillips","L",72,180,0.229,12,"(162,185]","(71,74]","(0.216,0.272]",2
"Andres Thomas","R",73,170,0.234,42,"(162,185]","(71,74]","(0.216,0.272]",1
"Mike de la Hoz","R",71,175,0.251,25,"(162,185]","(68,71]","(0.216,0.272]",1
"Frank Taveras","R",72,155,0.255,2,"(140,162]","(71,74]","(0.216,0.272]",1
"Joe Nossek","R",72,178,0.228,3,"(162,185]","(71,74]","(0.216,0.272]",1
"Larry Stahl","L",72,175,0.232,36,"(162,185]","(71,74]","(0.216,0.272]",2
"Jose Cruz","L",72,170,0.284,165,"(162,185]","(71,74]","(0.272,0.328]",2
"Don Mason","L",71,160,0.205,3,"(140,162]","(68,71]","(0.16,0.216]",2
"Bill Robinson","R",74,189,0.258,166,"(185,208]","(71,74]","(0.216,0.272]",1
"Sal Bando","R",72,195,0.254,242,"(185,208]","(71,74]","(0.216,0.272]",1
"George Mitterwald","R",74,195,0.236,76,"(185,208]","(71,74]","(0.216,0.272]",1
"Bob Tillman","R",76,205,0.232,79,"(185,208]","(74,77]","(0.216,0.272]",1
"Pat Corrales","R",72,180,0.216,4,"(162,185]","(71,74]","(0.16,0.216]",1
"Mike Tyson","R",69,170,0.241,27,"(162,185]","(68,71]","(0.216,0.272]",1
"Rafael Landestoy","B",70,165,0.237,4,"(162,185]","(68,71]","(0.216,0.272]",3
"Duane Josephson","R",72,190,0.258,23,"(185,208]","(71,74]","(0.216,0.272]",1
"Duane Walker","L",72,185,0.229,24,"(162,185]","(71,74]","(0.216,0.272]",2
"Glenn Hubbard","R",69,150,0.244,70,"(140,162]","(68,71]","(0.216,0.272]",1
"Roger Freed","R",72,190,0.245,22,"(185,208]","(71,74]","(0.216,0.272]",1
"George Hendrick","R",75,195,0.278,267,"(185,208]","(74,77]","(0.272,0.328]",1
"Rod Carew","L",72,170,0.328,92,"(162,185]","(71,74]","(0.272,0.328]",2
"Bob Davis","R",72,180,0.197,6,"(162,185]","(71,74]","(0.16,0.216]",1
"Toby Harrah","R",72,175,0.264,195,"(162,185]","(71,74]","(0.216,0.272]",1
"Rick Manning","L",73,180,0.257,56,"(162,185]","(71,74]","(0.216,0.272]",2
"Gary Matthews","R",74,185,0.281,234,"(162,185]","(71,74]","(0.272,0.328]",1
"Cesar Geronimo","L",72,165,0.258,51,"(162,185]","(71,74]","(0.216,0.272]",2
"Billy Bryan","L",76,200,0.216,41,"(185,208]","(74,77]","(0.16,0.216]",2
"Terry Whitfield","L",73,197,0.281,33,"(185,208]","(71,74]","(0.272,0.328]",2
"Mario Mendoza","R",71,170,0.215,4,"(162,185]","(68,71]","(0.16,0.216]",1
"Fred Lynn","L",73,185,0.283,306,"(162,185]","(71,74]","(0.272,0.328]",2
