"name","handedness","height","weight","avg","HR","weight_bucket","height_bucket","avg_bucket","dexterity"
"Felix Millan","R",71,172,0.279,22,"(162,185]","(68,71]","(0.272,0.328]",1
"Steve Garvey","R",70,192,0.294,272,"(185,208]","(68,71]","(0.272,0.328]",1
"Don Mincher","L",75,205,0.249,200,"(185,208]","(74,77]","(0.216,0.272]",2
"Tony Cloninger","R",72,210,0.192,11,"(208,230]","(71,74]","(0.16,0.216]",1
"Jim Gosger","L",71,185,0.226,30,"(162,185]","(68,71]","(0.216,0.272]",2
"Chuck Harrison","R",70,185,0.238,17,"(162,185]","(68,71]","(0.216,0.272]",1
"Mike Ivie","R",75,205,0.269,81,"(185,208]","(74,77]","(0.216,0.272]",1
"Marvell Wynne","L",71,175,0.247,40,"(162,185]","(68,71]","(0.216,0.272]",2
"Dusty Baker","R",74,183,0.278,242,"(162,185]","(71,74]","(0.272,0.328]",1
"Tucker Ashford","R",73,195,0.218,6,"(185,208]","(71,74]","(0.216,0.272]",1
"Ned Yost","R",73,190,0.212,16,"(185,208]","(71,74]","(0.16,0.216]",1
"Bob Stinson","B",71,180,0.25,33,"(162,185]","(68,71]","(0.216,0.272]",3
"Gaylord Perry","R",76,205,0.131,6,"(185,208]","(74,77]","(0.104,0.16]",1
"Dave Marshall","L",73,182,0.246,16,"(162,185]","(71,74]","(0.216,0.272]",2
"Mickey Hatcher","R",74,200,0.28,38,"(185,208]","(71,74]","(0.272,0.328]",1
"Roger Repoz","L",75,190,0.224,82,"(185,208]","(74,77]","(0.216,0.272]",2
"John Orsino","R",75,215,0.249,40,"(208,230]","(74,77]","(0.216,0.272]",1
"Johnny Briggs","L",73,190,0.253,139,"(185,208]","(71,74]","(0.216,0.272]",2
"Dave Hostetler","R",76,215,0.229,37,"(208,230]","(74,77]","(0.216,0.272]",1
"Bob Jones","L",74,195,0.221,20,"(185,208]","(71,74]","(0.216,0.272]",2
"Keith Hernandez","L",72,180,0.296,162,"(162,185]","(71,74]","(0.272,0.328]",2
"Willie Upshaw","L",72,185,0.262,123,"(162,185]","(71,74]","(0.216,0.272]",2
"Dick Green","R",70,180,0.24,80,"(162,185]","(68,71]","(0.216,0.272]",1
"Dane Iorg","L",72,180,0.276,14,"(162,185]","(71,74]","(0.272,0.328]",2
"Richie Hebner","L",73,195,0.276,203,"(185,208]","(71,74]","(0.272,0.328]",2
"Fran Healy","R",77,220,0.25,20,"(208,230]","(74,77]","(0.216,0.272]",1
"Doc Edwards","R",74,215,0.238,15,"(208,230]","(71,74]","(0.216,0.272]",1
"Sandy Alomar","B",69,140,0.245,13,"(140,162]","(68,71]","(0.216,0.272]",3
"Joe Strain","R",70,169,0.25,1,"(162,185]","(68,71]","(0.216,0.272]",1
"Gene Richards","L",72,175,0.29,26,"(162,185]","(71,74]","(0.272,0.328]",2
"Buddy Bell","R",73,180,0.279,201,"(162,185]","(71,74]","(0.272,0.328]",1
"Al Woods","L",75,190,0.271,35,"(185,208]","(74,77]","(0.216,0.272]",2
"Rudy Law","L",73,165,0.271,18,"(162,185]","(71,74]","(0.216,0.272]",2
"Jody Davis","R",76,192,0.245,127,"(185,208]","(74,77]","(0.216,0.272]",1
"Mike Edwards","R",70,154,0.25,2,"(140,162]","(68,71]","(0.216,0.272]",1
"Deron Johnson","R",74,200,0.244,245,"(185,208]","(71,74]","(0.216,0.272]",1
"Don Wert","R",70,162,0.242,77,"(140,162]","(68,71]","(0.216,0.272]",1
"Mike Fiore","L",72,175,0.227,13,"(162,185]","(71,74]","(0.216,0.272]",2
"Miguel Dilone","B",72,160,0.265,6,"(140,162]","(71,74]","(0.216,0.272]",3
"Greg Luzinski","R",73,220,0.276,307,"(208,230]","(71,74]","(0.272,0.328]",1
"Bobby Tolan","L",71,170,0.265,86,"(162,185]","(68,71]","(0.216,0.272]",2
"Ron Woods","R",70,168,0.233,26,"(162,185]","(68,71]","(0.216,0.272]",1
"Tony Horton","R",75,210,0.268,76,"(208,230]","(74,77]","(0.216,0.272]",1
"Randy Hundley","R",71,170,0.236,82,"(162,185]","(68,71]","(0.216,0.272]",1
"Jose Tartabull","L",71,165,0.261,2,"(162,185]","(68,71]","(0.216,0.272]",2
"Ben Oglivie","L",74,160,0.273,235,"(140,162]","(71,74]","(0.272,0.328]",2
"Bob Johnson","R",70,175,0.272,44,"(162,185]","(68,71]","(0.216,0.272]",1
"Don Buford","B",67,160,0.264,93,"(140,162]","(65,68]","(0.216,0.272]",3
"Duane Kuiper","L",72,175,0.271,1,"(162,185]","(71,74]","(0.216,0.272]",2
"Brant Alyea","R",75,215,0.247,38,"(208,230]","(74,77]","(0.216,0.272]",1
"Jerry Narron","L",75,205,0.211,21,"(185,208]","(74,77]","(0.16,0.216]",2
"Lou Johnson","R",71,170,0.258,48,"(162,185]","(68,71]","(0.216,0.272]",1
"Ken Retzer","L",72,185,0.264,14,"(162,185]","(71,74]","(0.216,0.272]",2
"Greg Walker","L",75,205,0.26,113,"(185,208]","(74,77]","(0.216,0.272]",2
"Terry Harper","R",76,195,0.253,36,"(185,208]","(74,77]","(0.216,0.272]",1
"Jerry Royster","R",72,165,0.249,40,"(162,185]","(71,74]","(0.216,0.272]",1
"Barry Bonnell","R",75,190,0.272,56,"(185,208]","(74,77]","(0.216,0.272]",1
"Tom Seaver","R",73,195,0.154,12,"(185,208]","(71,74]","(0.104,0.16]",1
"Jerry Martin","R",73,195,0.251,85,"(185,208]","(71,74]","(0.216,0.272]",1
"Bill Stein","R",70,170,0.267,44,"(162,185]","(68,71]","(0.216,0.272]",1
"Joel Youngblood","R",72,180,0.265,80,"(162,185]","(71,74]","(0.216,0.272]",1
"Reggie Jackson","L",72,195,0.262,563,"(185,208]","(71,74]","(0.216,0.272]",2
"Sonny Jackson","L",69,150,0.251,7,"(140,162]","(68,71]","(0.216,0.272]",2
"Rodney Scott","B",72,160,0.236,3,"(140,162]","(71,74]","(0.216,0.272]",3
"Rich Coggins","L",68,170,0.265,12,"(162,185]","(65,68]","(0.216,0.272]",2
"Phil Gagliano","R",73,180,0.238,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Jerry McNertney","R",72,180,0.237,27,"(162,185]","(71,74]","(0.216,0.272]",1
"Mitchell Page","L",74,205,0.266,72,"(185,208]","(71,74]","(0.216,0.272]",2
"Kiko Garcia","R",71,180,0.239,12,"(162,185]","(68,71]","(0.216,0.272]",1
"Larry Milbourne","B",72,161,0.254,11,"(140,162]","(71,74]","(0.216,0.272]",3
"Bill Sudakis","B",73,190,0.234,59,"(185,208]","(71,74]","(0.216,0.272]",3
"Domingo Ramos","R",70,154,0.24,8,"(140,162]","(68,71]","(0.216,0.272]",1
"Ron Oester","B",74,185,0.265,42,"(162,185]","(71,74]","(0.216,0.272]",3
"Glenn Adams","L",73,180,0.28,34,"(162,185]","(71,74]","(0.272,0.328]",2
"Joe Morgan","L",67,160,0.271,268,"(140,162]","(65,68]","(0.216,0.272]",2
"R.J. Reynolds","B",72,190,0.267,35,"(185,208]","(71,74]","(0.216,0.272]",3
"Lee Thomas","L",74,195,0.255,106,"(185,208]","(71,74]","(0.216,0.272]",2
"Ray Fosse","R",74,215,0.256,61,"(208,230]","(71,74]","(0.216,0.272]",1
"Paul Popovich","B",72,175,0.233,14,"(162,185]","(71,74]","(0.216,0.272]",3
"John Stephenson","L",71,180,0.216,12,"(162,185]","(68,71]","(0.16,0.216]",2
"Doug Clemens","L",72,180,0.229,12,"(162,185]","(71,74]","(0.216,0.272]",2
"Orlando Mercado","R",72,180,0.199,7,"(162,185]","(71,74]","(0.16,0.216]",1
"Charley Smith","R",73,170,0.239,69,"(162,185]","(71,74]","(0.216,0.272]",1
"Buddy Biancalana","B",71,160,0.205,6,"(140,162]","(68,71]","(0.16,0.216]",3
"Bob Uecker","R",73,190,0.2,14,"(185,208]","(71,74]","(0.16,0.216]",1
"Felix Torres","R",71,165,0.254,27,"(162,185]","(68,71]","(0.216,0.272]",1
"Steve Braun","L",70,180,0.271,52,"(162,185]","(68,71]","(0.216,0.272]",2
"Ray Knight","R",73,185,0.271,84,"(162,185]","(71,74]","(0.216,0.272]",1
"Ty Cline","L",72,170,0.238,6,"(162,185]","(71,74]","(0.216,0.272]",2
"Thad Bosley","L",75,175,0.272,20,"(162,185]","(74,77]","(0.216,0.272]",2
"Bobby Grich","R",74,180,0.266,224,"(162,185]","(71,74]","(0.216,0.272]",1
"Jimmie Hall","L",72,175,0.254,121,"(162,185]","(71,74]","(0.216,0.272]",2
"John Boccabella","R",73,195,0.219,26,"(185,208]","(71,74]","(0.216,0.272]",1
"Brock Davis","L",70,160,0.26,1,"(140,162]","(68,71]","(0.216,0.272]",2
"Curt Blefary","L",74,195,0.237,112,"(185,208]","(71,74]","(0.216,0.272]",2
"Mack Jones","L",73,180,0.252,133,"(162,185]","(71,74]","(0.216,0.272]",2
"Buddy Bradford","R",71,170,0.226,52,"(162,185]","(68,71]","(0.216,0.272]",1
"Hosken Powell","L",73,175,0.259,17,"(162,185]","(71,74]","(0.216,0.272]",2
"Dave Stapleton","R",73,178,0.271,41,"(162,185]","(71,74]","(0.216,0.272]",1
"Gary Ward","R",74,195,0.276,130,"(185,208]","(71,74]","(0.272,0.328]",1
"Jim Lonborg","R",77,200,0.136,3,"(185,208]","(74,77]","(0.104,0.16]",1
"Joe Lis","R",72,175,0.233,32,"(162,185]","(71,74]","(0.216,0.272]",1
"Dan Meyer","L",71,180,0.253,86,"(162,185]","(68,71]","(0.216,0.272]",2
"Jim Holt","L",72,180,0.265,19,"(162,185]","(71,74]","(0.216,0.272]",2
"Larry Herndon","R",75,190,0.274,107,"(185,208]","(74,77]","(0.272,0.328]",1
"Wallace Johnson","B",72,173,0.255,5,"(162,185]","(71,74]","(0.216,0.272]",3
"Eddie Leon","R",72,170,0.236,24,"(162,185]","(71,74]","(0.216,0.272]",1
"Jim Wohlford","R",71,175,0.26,21,"(162,185]","(68,71]","(0.216,0.272]",1
"J.R. Richard","R",80,222,0.168,10,"(208,230]","(77,80]","(0.16,0.216]",1
"Bill Voss","L",74,160,0.227,19,"(140,162]","(71,74]","(0.216,0.272]",2
"Keith Moreland","R",72,190,0.279,121,"(185,208]","(71,74]","(0.272,0.328]",1
"Alex Johnson","R",72,205,0.288,78,"(185,208]","(71,74]","(0.272,0.328]",1
"Wayne Krenchicki","L",73,180,0.266,15,"(162,185]","(71,74]","(0.216,0.272]",2
"Dave Rosello","R",71,160,0.236,10,"(140,162]","(68,71]","(0.216,0.272]",1
"Paul Schaal","R",71,165,0.244,57,"(162,185]","(68,71]","(0.216,0.272]",1
"Tito Landrum","R",71,175,0.249,13,"(162,185]","(68,71]","(0.216,0.272]",1
"Dave Edwards","R",72,170,0.237,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Mario Guerrero","R",70,155,0.257,7,"(140,162]","(68,71]","(0.216,0.272]",1
"Tom Tresh","B",73,180,0.245,153,"(162,185]","(71,74]","(0.216,0.272]",3
"Ron Roenicke","B",72,180,0.238,17,"(162,185]","(71,74]","(0.216,0.272]",3
"Doug Griffin","R",72,160,0.245,7,"(140,162]","(71,74]","(0.216,0.272]",1
"Steve Blass","R",72,165,0.172,1,"(162,185]","(71,74]","(0.16,0.216]",1
"Johnnie LeMaster","R",74,165,0.222,22,"(162,185]","(71,74]","(0.216,0.272]",1
"Nate Oliver","R",70,160,0.226,2,"(140,162]","(68,71]","(0.216,0.272]",1
"Ray Sadecki","L",71,180,0.191,5,"(162,185]","(68,71]","(0.16,0.216]",2
"Ken Rudolph","R",73,180,0.213,6,"(162,185]","(71,74]","(0.16,0.216]",1
"Wayne Nordhagen","R",74,205,0.282,39,"(185,208]","(71,74]","(0.272,0.328]",1
"Biff Pocoroba","B",70,175,0.257,21,"(162,185]","(68,71]","(0.216,0.272]",3
"Len Matuszek","L",74,190,0.234,30,"(185,208]","(71,74]","(0.216,0.272]",2
"Joe Lefebvre","L",70,170,0.258,31,"(162,185]","(68,71]","(0.216,0.272]",2
"Jim Maloney","L",74,190,0.201,7,"(185,208]","(71,74]","(0.16,0.216]",2
"Andre Robertson","R",70,155,0.251,5,"(140,162]","(68,71]","(0.216,0.272]",1
"Jerry Zimmerman","R",74,185,0.204,3,"(162,185]","(71,74]","(0.16,0.216]",1
"Chet Lemon","R",72,190,0.273,215,"(185,208]","(71,74]","(0.272,0.328]",1
"Phil Mankowski","L",72,180,0.264,8,"(162,185]","(71,74]","(0.216,0.272]",2
"Cleon Jones","R",72,185,0.281,93,"(162,185]","(71,74]","(0.272,0.328]",1
"Joaquin Andujar","B",72,170,0.127,5,"(162,185]","(71,74]","(0.104,0.16]",3
"Mike Lum","L",72,180,0.247,90,"(162,185]","(71,74]","(0.216,0.272]",2
"Johnny Grubb","L",75,175,0.278,99,"(162,185]","(74,77]","(0.272,0.328]",2
"Curt Motton","R",68,164,0.213,25,"(162,185]","(65,68]","(0.16,0.216]",1
"Johnny Bench","R",73,197,0.267,389,"(185,208]","(71,74]","(0.216,0.272]",1
"Dale Berra","R",72,180,0.236,49,"(162,185]","(71,74]","(0.216,0.272]",1
"Bob Meacham","B",73,175,0.236,8,"(162,185]","(71,74]","(0.216,0.272]",3
"Carl Warwick","R",70,170,0.248,31,"(162,185]","(68,71]","(0.216,0.272]",1
"Sam Bowens","R",73,188,0.223,45,"(185,208]","(71,74]","(0.216,0.272]",1
"George Wright","B",71,180,0.245,42,"(162,185]","(68,71]","(0.216,0.272]",3
"Luis Aguayo","R",69,173,0.236,37,"(162,185]","(68,71]","(0.216,0.272]",1
"Hal Lanier","R",74,180,0.228,8,"(162,185]","(71,74]","(0.216,0.272]",1
"Len Randle","B",70,169,0.257,27,"(162,185]","(68,71]","(0.216,0.272]",3
"Greg Pryor","R",72,180,0.25,14,"(162,185]","(71,74]","(0.216,0.272]",1
"Jim Traber","L",72,194,0.227,27,"(185,208]","(71,74]","(0.216,0.272]",2
"Dave Nelson","R",70,160,0.244,20,"(140,162]","(68,71]","(0.216,0.272]",1
"Lynn Jones","R",69,175,0.252,7,"(162,185]","(68,71]","(0.216,0.272]",1
"Bryan Little","B",70,160,0.245,3,"(140,162]","(68,71]","(0.216,0.272]",3
"Ken Suarez","R",69,175,0.227,5,"(162,185]","(68,71]","(0.216,0.272]",1
"Rick Peters","B",69,170,0.277,2,"(162,185]","(68,71]","(0.272,0.328]",3
"Ron Stone","L",74,185,0.241,6,"(162,185]","(71,74]","(0.216,0.272]",2
"Tommie Agee","R",71,195,0.255,130,"(185,208]","(68,71]","(0.216,0.272]",1
"Bob Bailey","R",73,180,0.257,189,"(162,185]","(71,74]","(0.216,0.272]",1
"Cap Peterson","R",74,195,0.23,19,"(185,208]","(71,74]","(0.216,0.272]",1
"Ted Uhlaender","L",74,190,0.263,36,"(185,208]","(71,74]","(0.216,0.272]",2
"Ted Simmons","B",71,193,0.285,248,"(185,208]","(68,71]","(0.272,0.328]",3
"Bobby Murcer","L",71,160,0.277,252,"(140,162]","(68,71]","(0.272,0.328]",2
"Dick Tracewski","R",71,160,0.213,8,"(140,162]","(68,71]","(0.16,0.216]",1
"Bill Nahorodny","R",74,200,0.241,25,"(185,208]","(71,74]","(0.216,0.272]",1
"Bill Madlock","R",71,180,0.305,163,"(162,185]","(68,71]","(0.272,0.328]",1
"Bob Boone","R",74,195,0.254,105,"(185,208]","(71,74]","(0.216,0.272]",1
"Steve Kemp","L",72,195,0.278,130,"(185,208]","(71,74]","(0.272,0.328]",2
"Rick Burleson","R",70,165,0.273,50,"(162,185]","(68,71]","(0.272,0.328]",1
"Carl Taylor","R",74,200,0.266,10,"(185,208]","(71,74]","(0.216,0.272]",1
"Terry Harmon","R",74,180,0.233,4,"(162,185]","(71,74]","(0.216,0.272]",1
"Mike Hargrove","L",72,195,0.29,80,"(185,208]","(71,74]","(0.272,0.328]",2
"Steve Hovley","L",70,188,0.258,8,"(185,208]","(68,71]","(0.216,0.272]",2
"Don Leppert","R",74,220,0.229,15,"(208,230]","(71,74]","(0.216,0.272]",1
"Lee May","R",75,195,0.267,354,"(185,208]","(74,77]","(0.216,0.272]",1
"Sam McDowell","L",77,190,0.154,2,"(185,208]","(74,77]","(0.104,0.16]",2
"Rick Renick","R",72,188,0.221,20,"(185,208]","(71,74]","(0.216,0.272]",1
"Jeff Torborg","R",72,195,0.214,8,"(185,208]","(71,74]","(0.16,0.216]",1
"Dave Campbell","R",73,180,0.213,20,"(162,185]","(71,74]","(0.16,0.216]",1
"Pat Kelly","L",73,185,0.264,76,"(162,185]","(71,74]","(0.216,0.272]",2
"Al Weis","B",72,160,0.219,7,"(140,162]","(71,74]","(0.216,0.272]",3
"Jerry Turner","L",69,180,0.257,45,"(162,185]","(68,71]","(0.216,0.272]",2
"Rick Auerbach","R",72,165,0.22,9,"(162,185]","(71,74]","(0.216,0.272]",1
"Don Wilson","R",74,195,0.146,1,"(185,208]","(71,74]","(0.104,0.16]",1
"Sandy Valdespino","L",68,170,0.23,7,"(162,185]","(65,68]","(0.216,0.272]",2
"Ken Phelps","L",73,209,0.239,123,"(208,230]","(71,74]","(0.216,0.272]",2
"Cesar Cedeno","R",74,175,0.285,199,"(162,185]","(71,74]","(0.272,0.328]",1
"Phil Linz","R",73,180,0.235,11,"(162,185]","(71,74]","(0.216,0.272]",1
"Manny Mota","R",70,160,0.304,31,"(140,162]","(68,71]","(0.272,0.328]",1
"Steve Renko","R",77,230,0.215,6,"(208,230]","(74,77]","(0.16,0.216]",1
"Rick Sofield","L",73,195,0.243,9,"(185,208]","(71,74]","(0.216,0.272]",2
"Doug DeCinces","R",74,190,0.259,237,"(185,208]","(71,74]","(0.216,0.272]",1
"John Castino","R",71,175,0.278,41,"(162,185]","(68,71]","(0.272,0.328]",1
"Dave May","L",70,186,0.251,96,"(185,208]","(68,71]","(0.216,0.272]",2
"Ron Washington","R",71,155,0.261,20,"(140,162]","(68,71]","(0.216,0.272]",1
"Billy Grabarkewitz","R",70,165,0.236,28,"(162,185]","(68,71]","(0.216,0.272]",1
"Willie Aikens","L",75,220,0.271,110,"(208,230]","(74,77]","(0.216,0.272]",2
"Earl Williams","R",75,215,0.247,138,"(208,230]","(74,77]","(0.216,0.272]",1
"Don Hahn","R",73,180,0.236,7,"(162,185]","(71,74]","(0.216,0.272]",1
"Todd Cruz","R",72,175,0.22,34,"(162,185]","(71,74]","(0.216,0.272]",1
"Tom Egan","R",76,218,0.2,22,"(208,230]","(74,77]","(0.16,0.216]",1
"Bob Heise","R",72,175,0.247,1,"(162,185]","(71,74]","(0.216,0.272]",1
"Tommy Harper","R",69,165,0.257,146,"(162,185]","(68,71]","(0.216,0.272]",1
"Joe Wallis","B",71,180,0.244,16,"(162,185]","(68,71]","(0.216,0.272]",3
"Max Alvis","R",71,185,0.247,111,"(162,185]","(68,71]","(0.216,0.272]",1
"Rico Carty","R",75,200,0.299,204,"(185,208]","(74,77]","(0.272,0.328]",1
"Mike Cubbage","L",72,180,0.258,34,"(162,185]","(71,74]","(0.216,0.272]",2
"Merritt Ranew","L",71,170,0.247,8,"(162,185]","(68,71]","(0.216,0.272]",2
"Lyman Bostock","L",73,180,0.311,23,"(162,185]","(71,74]","(0.272,0.328]",2
"Damaso Garcia","R",73,165,0.283,36,"(162,185]","(71,74]","(0.272,0.328]",1
"Roy Howell","L",73,190,0.261,80,"(185,208]","(71,74]","(0.216,0.272]",2
"Boog Powell","L",76,230,0.266,339,"(208,230]","(74,77]","(0.216,0.272]",2
"Sonny Siebert","R",75,190,0.173,12,"(185,208]","(74,77]","(0.16,0.216]",1
"Bobby Darwin","R",74,190,0.251,83,"(185,208]","(71,74]","(0.216,0.272]",1
"Dan Driessen","L",71,187,0.267,153,"(185,208]","(68,71]","(0.216,0.272]",2
"Bruce Miller","R",73,185,0.246,1,"(162,185]","(71,74]","(0.216,0.272]",1
"Bob Bailor","R",71,170,0.264,9,"(162,185]","(68,71]","(0.216,0.272]",1
"Tommy Helms","R",70,165,0.269,34,"(162,185]","(68,71]","(0.216,0.272]",1
